ID	AVVIG97	AVGROW97	FLEAR	FRDA1	FREAR	AVCFWHA	AVNCFWH	AVYTFNW
SYNAGAD_133	2.01994648	-2.04E-08	4.807538059	3.822391856	0.026440855	0.200830384	-0.090897786	0.141830603
SYNAGAD_134	-0.354211413	-3.57E-08	3.286736332	4.627299532	1.891865932	0.768126164	0.593078539	0.735578214
SYNAGAD_135	0.458000497	-3.28E-08	4.30060415	-1.007054204	-4.077494317	0.035818843	-0.115295547	0.034851794
SYNAGAD_136	2.76968055	-1.78E-07	4.807538059	6.237114885	2.264950948	0.855404961	0.47299407	0.806967248
SYNAGAD_137	-1.416334681	4.74E-08	1.765934605	4.026749128	1.943425248	0.112565009	-0.047525394	0.036965416
SYNAGAD_138	-0.354211414	2.54E-09	-3.303404486	-3.019323395	-0.346644161	-0.401618613	-0.445248055	-0.427664467
SYNAGAD_139	1.770035119	-1.37E-08	8.356075423	7.4444764	0.772610886	0.802267271	0.823176536	0.797433145
SYNAGAD_140	1.582601605	-5.09E-08	2.779802423	1.407668826	-0.719729177	0.103412757	-0.218605129	0.144664501
SYNAGAD_141	-0.66660061	6.94E-08	1.765934605	-5.031592586	-5.942919394	-0.026219262	0.182834736	0.032683553
SYNAGAD_142	-2.051263434	-1.45E-07	1.259000696	-2.616869557	-3.331324285	-0.141562266	-0.155395446	-0.144967105
SYNAGAD_143	0.770389693	4.65E-08	0.752066787	-0.202146527	-0.719729177	-0.01796351	-0.035386642	0.000281487
SYNAGAD_144	-1.291379002	2.45E-08	-1.27566885	-0.604600365	0.39952587	-0.581824662	-0.657638385	-0.748637628
SYNAGAD_145	-0.354211413	2.83E-08	0.752066787	-2.214415718	-2.585154254	-0.261407854	0.094216268	-0.200700795
SYNAGAD_146	-0.731639296	5.51E-08	0.245132877	-0.202146527	-0.346644161	0.023192161	0.056720445	0.045758954
SYNAGAD_147	2.144902156	1.97E-08	2.272868514	-2.616869557	-4.077494317	-0.187477517	-0.165825219	-0.168444885
SYNAGAD_148	0.569220432	-3.66E-08	0.245132877	-1.007054204	-1.092814192	-0.033193555	0.023326218	0.001061536
SYNAGAD_149	-0.978989806	-3.28E-08	3.793670241	-1.81196188	-4.450579332	-0.083300896	-0.091486372	-0.035805052
SYNAGAD_150	-1.666246038	9.23E-09	0.245132877	1.407668826	1.145695901	0.230391054	0.178580992	0.25306362
SYNAGAD_151	-0.791556288	2.45E-08	1.259000696	1.005214988	0.026440855	0.307103009	0.372381249	0.342072596
SYNAGAD_152	0.395522658	-7.67E-08	3.286736332	3.419938017	0.772610886	0.330651282	-0.321914711	0.33330191
SYNAGAD_153	-0.104300056	-3.66E-08	4.807538059	2.212576503	-1.465899208	0.120667179	0.286243524	0.179031392
SYNAGAD_154	0.20808914	-1.46E-08	-0.261801032	0.200307311	0.39952587	0.099615841	0.190790262	0.144798015
SYNAGAD_155	-0.916511967	1.88E-08	-2.289536668	-2.616869557	-0.719729177	-0.05946523	0.00938177	-0.01721403
SYNAGAD_157	0.520478336	-2.61E-08	3.793670241	3.017484179	0.026440855	0.137270374	-0.544757328	-0.31758204
SYNAGAD_158	-1.978635234	3.02E-08	-0.261801032	-1.81196188	-1.465899208	0.317060862	0.357056758	0.328524154
SYNAGAD_159	-0.479167092	2.93E-08	5.314471968	-3.421777233	-7.062174441	0.109611036	0.119768926	0.149705465
SYNAGAD_160	-1.291379002	-5.10E-09	4.30060415	1.005214988	-2.212069239	0.361553948	0.021352047	0.31158484
SYNAGAD_161	-0.479167092	2.93E-08	2.779802423	-2.616869557	-4.450579332	-0.024414385	-0.064455335	0.00906476
SYNAGAD_162	-1.541290359	6.32E-10	-1.782602759	-4.629138748	-2.95823927	-0.035867564	-0.037996558	0.00855404
SYNAGAD_163	0.270566979	3.21E-08	2.779802423	1.005214988	-1.092814192	0.097437998	-0.324674609	-0.119954812
SYNAGAD_164	0.645434015	-6.05E-09	4.30060415	0.60276115	-2.585154254	0.390916052	0.11666963	0.385507037
SYNAGAD_165	0.20808914	-1.27E-08	2.272868514	0.60276115	-1.092814192	-0.142539001	-0.495816642	-0.219569159
SYNAGAD_166	0.458000496	-1.85E-08	5.314471968	-1.007054204	-4.823664348	-0.004731873	-0.013062257	0.034579865
SYNAGAD_167	-1.103945484	-1.75E-08	3.286736332	0.60276115	-1.838984223	0.039917175	-0.062295114	0.059330713
SYNAGAD_168	1.020301049	1.02E-08	4.30060415	-5.434046424	-8.181429488	0.020281734	-0.110627177	0.002149424
SYNAGAD_169	3.769325977	-1.03E-07	8.863009332	7.4444764	0.39952587	0.739506194	0.726668032	0.727570745
SYNAGAD_170	1.8949908	-2.23E-08	5.821405877	3.822391856	-0.719729177	0.148496146	8.39E-17	0.209870319
SYNAGAD_171	-2.415980108	2.36E-08	-0.261801032	5.885983096	4.925929582	0.030514971	0.061574769	0.070881528
SYNAGAD_172	0.083133461	-7.01E-09	0.245132877	6.639568724	5.995801103	-0.120298074	0.029773595	-0.07410645
SYNAGAD_173	1.08277889	-5.19E-08	4.30060415	5.029753371	1.518780917	0.626543596	0.400969269	0.634039483
SYNAGAD_174	-0.60412277	-2.71E-08	1.765934605	8.674834049	5.778073678	0.263922037	0.028061558	0.042973986
SYNAGAD_175	1.520123763	-4.43E-08	4.807538059	3.822391856	0.026440855	0.090476821	-0.023763378	0.078114105
SYNAGAD_176	1.270212408	-7.77E-08	5.821405877	4.224845694	-0.346644161	0.20446745	0.218803714	0.254398342
SYNAGAD_177	0.95782321	1.02E-08	4.30060415	3.419938017	0.026440855	-0.01285018	-0.02957501	0.022511467
